expCountry,concept,color,weight,se,hex,barStroke
mdg,peace,DO,0.171,0.035,#864d2b,#864d2b
mdg,peace,DP,0.213,0.04,#723484,#723484
mdg,peace,DR,0.217,0.04,#8a2b38,#8a2b38
mdg,peace,DY,0.201,0.036,#8a7527,#8a7527
mdg,peace,LB,0.438,0.05,#aacffb,#aacffb
mdg,peace,LC,0.438,0.051,#9de5e4,#9de5e4
mdg,peace,LG,0.452,0.049,#95e2b8,#95e2b8
mdg,peace,LH,0.476,0.05,#dbf099,#dbf099
mdg,peace,LO,0.449,0.05,#fbc9a3,#fbc9a3
mdg,peace,LP,0.35,0.046,#dfa7fa,#dfa7fa
mdg,peace,LR,0.376,0.044,#fc9fa3,#fc9fa3
mdg,peace,LY,0.473,0.051,#fff498,#fff498
mdg,peace,MB,0.365,0.051,#7196c0,#7196c0
mdg,peace,MC,0.403,0.052,#65acac,#65acac
mdg,peace,MG,0.346,0.05,#62ae88,#62ae88
mdg,peace,MH,0.27,0.043,#a0b668,#a0b668
mdg,peace,MO,0.213,0.037,#ce916c,#ce916c
mdg,peace,MP,0.254,0.037,#a66fbd,#a66fbd
mdg,peace,MR,0.271,0.043,#c5666b,#c5666b
mdg,peace,MY,0.307,0.046,#dab572,#dab572
mdg,peace,SB,0.368,0.052,#4fa7ef,#4fa7ef
mdg,peace,SC,0.416,0.054,#27d1cd,#27d1cd
mdg,peace,SG,0.409,0.052,#04c981,#04c981
mdg,peace,SH,0.41,0.051,#bde638,#bde638
mdg,peace,SO,0.334,0.048,#f89e2d,#f89e2d
mdg,peace,SP,0.254,0.045,#b740da,#b740da
mdg,peace,SR,0.303,0.051,#f03a52,#f03a52
mdg,peace,SY,0.297,0.046,#fff329,#fff329
mdg,peace,WH,0.725,0.047,#ffffff,#000000
mdg,peach,A1,0.243,0.049,#656168,#656168
mdg,peach,A2,0.215,0.042,#9d97a0,#9d97a0
mdg,peach,A3,0.23,0.045,#d8cfdb,#d8cfdb
mdg,peach,BK,0.202,0.04,#323033,#323033
mdg,peach,DB,0.224,0.043,#386089,#386089
mdg,peach,DC,0.233,0.039,#297375,#297375
mdg,peach,DG,0.501,0.052,#21704f,#21704f
mdg,peach,DH,0.38,0.044,#677f35,#677f35
mdg,peach,DO,0.32,0.049,#864d2b,#864d2b
mdg,peach,DP,0.192,0.037,#723484,#723484
mdg,peach,DR,0.383,0.052,#8a2b38,#8a2b38
mdg,peach,DY,0.277,0.04,#8a7527,#8a7527
mdg,peach,LB,0.299,0.047,#aacffb,#aacffb
mdg,peach,LC,0.311,0.047,#9de5e4,#9de5e4
mdg,peach,LG,0.441,0.049,#95e2b8,#95e2b8
mdg,peach,LH,0.308,0.045,#dbf099,#dbf099
mdg,peach,LO,0.286,0.043,#fbc9a3,#fbc9a3
mdg,peach,LP,0.268,0.043,#dfa7fa,#dfa7fa
mdg,peach,LR,0.43,0.051,#fc9fa3,#fc9fa3
mdg,peach,LY,0.34,0.046,#fff498,#fff498
mdg,peach,MB,0.258,0.045,#7196c0,#7196c0
mdg,peach,MC,0.257,0.043,#65acac,#65acac
mdg,peach,MG,0.447,0.049,#62ae88,#62ae88
mdg,peach,MH,0.359,0.045,#a0b668,#a0b668
mdg,peach,MO,0.325,0.046,#ce916c,#ce916c
mdg,peach,MP,0.19,0.037,#a66fbd,#a66fbd
mdg,peach,MR,0.379,0.047,#c5666b,#c5666b
mdg,peach,MY,0.338,0.046,#dab572,#dab572
mdg,peach,SB,0.258,0.046,#4fa7ef,#4fa7ef
mdg,peach,SC,0.216,0.039,#27d1cd,#27d1cd
mdg,peach,SG,0.501,0.056,#04c981,#04c981
mdg,peach,SH,0.363,0.047,#bde638,#bde638
mdg,peach,SO,0.339,0.049,#f89e2d,#f89e2d
mdg,peach,SP,0.215,0.038,#b740da,#b740da
mdg,peach,SR,0.445,0.054,#f03a52,#f03a52
mdg,peach,SY,0.361,0.051,#fff329,#fff329
mdg,peach,WH,0.237,0.043,#ffffff,#000000
mdg,sad,A1,0.649,0.046,#656168,#656168
mdg,sad,A2,0.621,0.045,#9d97a0,#9d97a0
mdg,sad,A3,0.444,0.052,#d8cfdb,#d8cfdb
mdg,sad,BK,0.738,0.046,#323033,#323033
mdg,sad,DB,0.225,0.039,#386089,#386089
mdg,sad,DC,0.257,0.041,#297375,#297375
mdg,sad,DG,0.264,0.04,#21704f,#21704f
mdg,sad,DH,0.32,0.043,#677f35,#677f35
mdg,sad,DO,0.33,0.041,#864d2b,#864d2b
mdg,sad,DP,0.457,0.052,#723484,#723484
mdg,sad,DR,0.331,0.043,#8a2b38,#8a2b38
mdg,sad,DY,0.372,0.044,#8a7527,#8a7527
mdg,sad,LB,0.277,0.041,#aacffb,#aacffb
mdg,sad,LC,0.198,0.032,#9de5e4,#9de5e4
mdg,sad,LG,0.173,0.029,#95e2b8,#95e2b8
mdg,sad,LH,0.293,0.041,#dbf099,#dbf099
mdg,sad,LO,0.263,0.038,#fbc9a3,#fbc9a3
mdg,sad,LP,0.373,0.05,#dfa7fa,#dfa7fa
mdg,sad,LR,0.214,0.035,#fc9fa3,#fc9fa3
mdg,sad,LY,0.266,0.043,#fff498,#fff498
mdg,sad,MB,0.239,0.037,#7196c0,#7196c0
mdg,sad,MC,0.245,0.04,#65acac,#65acac
mdg,sad,MG,0.223,0.033,#62ae88,#62ae88
mdg,sad,MH,0.346,0.045,#a0b668,#a0b668
mdg,sad,MO,0.325,0.042,#ce916c,#ce916c
mdg,sad,MP,0.488,0.052,#a66fbd,#a66fbd
mdg,sad,MR,0.311,0.041,#c5666b,#c5666b
mdg,sad,MY,0.256,0.036,#dab572,#dab572
mdg,sad,SB,0.174,0.032,#4fa7ef,#4fa7ef
mdg,sad,SC,0.205,0.036,#27d1cd,#27d1cd
mdg,sad,SG,0.165,0.031,#04c981,#04c981
mdg,sad,SH,0.176,0.033,#bde638,#bde638
mdg,sad,SO,0.206,0.036,#f89e2d,#f89e2d
mdg,sad,SP,0.397,0.055,#b740da,#b740da
mdg,sad,SR,0.242,0.04,#f03a52,#f03a52
mdg,sad,SY,0.21,0.041,#fff329,#fff329
mdg,sad,WH,0.368,0.053,#ffffff,#000000
mdg,safety,A1,0.369,0.052,#656168,#656168
mdg,safety,A2,0.223,0.037,#9d97a0,#9d97a0
mdg,safety,A3,0.471,0.054,#d8cfdb,#d8cfdb
mdg,safety,BK,0.398,0.054,#323033,#323033
mdg,safety,DB,0.377,0.053,#386089,#386089
mdg,safety,DC,0.303,0.047,#297375,#297375
mdg,safety,DG,0.389,0.051,#21704f,#21704f
mdg,safety,DH,0.368,0.052,#677f35,#677f35
mdg,safety,DO,0.23,0.043,#864d2b,#864d2b
mdg,safety,DP,0.214,0.037,#723484,#723484
mdg,safety,DR,0.403,0.053,#8a2b38,#8a2b38
mdg,safety,DY,0.272,0.04,#8a7527,#8a7527
mdg,safety,LB,0.325,0.047,#aacffb,#aacffb
mdg,safety,LC,0.315,0.046,#9de5e4,#9de5e4
mdg,safety,LG,0.351,0.049,#95e2b8,#95e2b8
mdg,safety,LH,0.345,0.048,#dbf099,#dbf099
mdg,safety,LO,0.277,0.043,#fbc9a3,#fbc9a3
mdg,safety,LP,0.255,0.044,#dfa7fa,#dfa7fa
mdg,safety,LR,0.382,0.046,#fc9fa3,#fc9fa3
mdg,safety,LY,0.355,0.049,#fff498,#fff498
mdg,safety,MB,0.338,0.051,#7196c0,#7196c0
mdg,safety,MC,0.313,0.046,#65acac,#65acac
mdg,safety,MG,0.325,0.047,#62ae88,#62ae88
mdg,safety,MH,0.308,0.043,#a0b668,#a0b668
mdg,safety,MO,0.258,0.042,#ce916c,#ce916c
mdg,safety,MP,0.239,0.042,#a66fbd,#a66fbd
mdg,safety,MR,0.293,0.045,#c5666b,#c5666b
mdg,safety,MY,0.31,0.046,#dab572,#dab572
mdg,safety,SB,0.451,0.055,#4fa7ef,#4fa7ef
mdg,safety,SC,0.38,0.049,#27d1cd,#27d1cd
mdg,safety,SG,0.442,0.057,#04c981,#04c981
mdg,safety,SH,0.404,0.053,#bde638,#bde638
mdg,safety,SO,0.344,0.048,#f89e2d,#f89e2d
mdg,safety,SP,0.256,0.042,#b740da,#b740da
mdg,safety,SR,0.458,0.059,#f03a52,#f03a52
mdg,safety,SY,0.354,0.05,#fff329,#fff329
mdg,safety,WH,0.491,0.053,#ffffff,#000000
mdg,sandstorm,A1,0.46,0.053,#656168,#656168
mdg,sandstorm,A2,0.514,0.051,#9d97a0,#9d97a0
mdg,sandstorm,A3,0.353,0.05,#d8cfdb,#d8cfdb
mdg,sandstorm,BK,0.471,0.053,#323033,#323033
mdg,sandstorm,DB,0.175,0.03,#386089,#386089
mdg,sandstorm,DC,0.182,0.035,#297375,#297375
mdg,sandstorm,DG,0.165,0.032,#21704f,#21704f
mdg,sandstorm,DH,0.246,0.042,#677f35,#677f35
mdg,sandstorm,DO,0.504,0.05,#864d2b,#864d2b
mdg,sandstorm,DP,0.158,0.034,#723484,#723484
mdg,sandstorm,DR,0.261,0.044,#8a2b38,#8a2b38
mdg,sandstorm,DY,0.455,0.048,#8a7527,#8a7527
mdg,sandstorm,LB,0.194,0.029,#aacffb,#aacffb
mdg,sandstorm,LC,0.173,0.031,#9de5e4,#9de5e4
mdg,sandstorm,LG,0.168,0.032,#95e2b8,#95e2b8
mdg,sandstorm,LH,0.43,0.046,#dbf099,#dbf099
mdg,sandstorm,LO,0.524,0.057,#fbc9a3,#fbc9a3
mdg,sandstorm,LP,0.225,0.038,#dfa7fa,#dfa7fa
mdg,sandstorm,LR,0.25,0.038,#fc9fa3,#fc9fa3
mdg,sandstorm,LY,0.429,0.054,#fff498,#fff498
mdg,sandstorm,MB,0.221,0.04,#7196c0,#7196c0
mdg,sandstorm,MC,0.133,0.023,#65acac,#65acac
mdg,sandstorm,MG,0.16,0.03,#62ae88,#62ae88
mdg,sandstorm,MH,0.321,0.044,#a0b668,#a0b668
mdg,sandstorm,MO,0.532,0.048,#ce916c,#ce916c
mdg,sandstorm,MP,0.191,0.036,#a66fbd,#a66fbd
mdg,sandstorm,MR,0.229,0.039,#c5666b,#c5666b
mdg,sandstorm,MY,0.538,0.053,#dab572,#dab572
mdg,sandstorm,SB,0.11,0.021,#4fa7ef,#4fa7ef
mdg,sandstorm,SC,0.175,0.031,#27d1cd,#27d1cd
mdg,sandstorm,SG,0.153,0.031,#04c981,#04c981
mdg,sandstorm,SH,0.259,0.046,#bde638,#bde638
mdg,sandstorm,SO,0.354,0.049,#f89e2d,#f89e2d
mdg,sandstorm,SP,0.153,0.031,#b740da,#b740da
mdg,sandstorm,SR,0.2,0.036,#f03a52,#f03a52
mdg,sandstorm,SY,0.327,0.048,#fff329,#fff329
mdg,sandstorm,WH,0.375,0.053,#ffffff,#000000
mdg,sick,A1,0.523,0.054,#656168,#656168
mdg,sick,A2,0.52,0.051,#9d97a0,#9d97a0
mdg,sick,A3,0.445,0.055,#d8cfdb,#d8cfdb
mdg,sick,BK,0.542,0.054,#323033,#323033
mdg,sick,DB,0.276,0.045,#386089,#386089
mdg,sick,DC,0.295,0.047,#297375,#297375
mdg,sick,DG,0.316,0.046,#21704f,#21704f
mdg,sick,DH,0.355,0.047,#677f35,#677f35
mdg,sick,DO,0.326,0.047,#864d2b,#864d2b
mdg,sick,DP,0.45,0.054,#723484,#723484
mdg,sick,DR,0.427,0.053,#8a2b38,#8a2b38
mdg,sick,DY,0.318,0.047,#8a7527,#8a7527
mdg,sick,LB,0.373,0.051,#aacffb,#aacffb
mdg,sick,LC,0.317,0.042,#9de5e4,#9de5e4
mdg,sick,LG,0.338,0.046,#95e2b8,#95e2b8
mdg,sick,LH,0.353,0.048,#dbf099,#dbf099
mdg,sick,LO,0.308,0.045,#fbc9a3,#fbc9a3
mdg,sick,LP,0.383,0.049,#dfa7fa,#dfa7fa
