concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
angry,lightning,WH,SY,0.33142878273682297,0.3374136219087296
angry,death,WH,SY,0.5627039813374184,0.6184474198693481
angry,banana,WH,SY,0.5143747004731629,0.5793239925692966
angry,sandstorm,WH,SY,0.20995426913784,0.2205929293690403
peace,happy,WH,SY,0.3521495375984083,0.37081942388965783
peace,lightning,WH,SY,0.3173359915477181,0.319524413576469
peace,death,WH,SY,0.0603837755954959,0.06659437280152036
peace,banana,WH,SY,0.8748053556517599,0.9157494750440129
peace,sandstorm,WH,SY,0.4186056485025944,0.4326537250032185
happy,lightning,WH,SY,0.04791582765973945,0.048449286073468656
happy,death,WH,SY,0.29533412691474514,0.32257781740072056
happy,banana,WH,SY,0.6755648882120844,0.7290727671878992
happy,sandstorm,WH,SY,0.0663130800587588,0.06886012785021722
lightning,death,WH,SY,0.2578617417058483,0.26921551821149925
lightning,banana,WH,SY,0.7218090539106095,0.7498164399923251
lightning,sandstorm,WH,SY,0.11671711374698557,0.11591996145629735
death,banana,WH,SY,0.8482976473018979,0.9095019852211614
death,sandstorm,WH,SY,0.36244042529129206,0.38817542575148445
banana,sandstorm,WH,SY,0.6384237090397513,0.6822338874445155
sick,safety,WH,MY,0.007036906210190708,0.007018695078063519
sick,mango,WH,MY,0.39656296153819115,0.38620228831079406
sick,justice,WH,MY,0.27046116887004945,0.2856044041313861
sick,sad,WH,MY,0.08971314085113913,0.0897440932615381
sick,tree,WH,MY,0.4262507815055172,0.43020499661957423
sick,peach,WH,MY,0.3341518334581379,0.3378256806426063
sick,angry,WH,MY,0.2710374638752311,0.281733455390933
sick,peace,WH,MY,0.26250437242270297,0.2698311337571395
sick,happy,WH,MY,0.1975994054031469,0.19638258576256507
sick,lightning,WH,MY,0.04070165329965403,0.04009590705784882
sick,death,WH,MY,0.13307358712346185,0.1390322077379491
sick,banana,WH,MY,0.485024196710079,0.49149369754045624
sick,sandstorm,WH,MY,0.37070242260859665,0.37476746352786305
