concept1,concept2,color1,color2,deltaS_sample,deltaS_fit
sad,sandstorm,SG,MG,0.1819252967151419,0.1963106382995602
tree,peach,SG,MG,0.005796337239403204,0.0056034598188343665
tree,angry,SG,MG,0.051060148999876875,0.04638487988551454
tree,peace,SG,MG,0.068557248286643,0.05812656738761035
tree,happy,SG,MG,0.2836394618296525,0.23839407652921318
tree,lightning,SG,MG,0.1165414749766609,0.11010621362419859
tree,death,SG,MG,0.0816742734507202,0.07170681232781995
tree,banana,SG,MG,0.18960003863973873,0.17893455089338217
tree,sandstorm,SG,MG,0.037681443309325435,0.033740422397527725
peach,angry,SG,MG,0.06408797327706162,0.07986307256763325
peach,peace,SG,MG,0.06713668949855567,0.06323138064520872
peach,happy,SG,MG,0.3047413525749355,0.2839241069728149
peach,lightning,SG,MG,0.13583314111590283,0.1810755371605821
peach,death,SG,MG,0.09949690572648817,0.12045025785865648
peach,banana,SG,MG,0.21125359840701652,0.25406909316042325
peach,sandstorm,SG,MG,0.05014626202208816,0.06362727115777245
angry,peace,SG,MG,0.12666374069937558,0.11315159262863062
angry,happy,SG,MG,0.29546559939937034,0.25991975735456263
angry,lightning,SG,MG,0.09591645507322277,0.1373538980714012
angry,death,SG,MG,0.044106541895719165,0.052832635996461486
angry,banana,SG,MG,0.19038764989267087,0.2276646336094783
angry,sandstorm,SG,MG,0.024500635375118263,0.03214559458759503
peace,happy,SG,MG,0.32529916291928074,0.27423894682149363
peace,lightning,SG,MG,0.1831789764593461,0.16872687407986275
peace,death,SG,MG,0.15577567886797072,0.13553709087621246
peace,banana,SG,MG,0.24418647155787654,0.2257121426026487
peace,sandstorm,SG,MG,0.1174661635939327,0.10368005195770846
happy,lightning,SG,MG,0.23267412517902208,0.21066891968956725
happy,death,SG,MG,0.28287167426902315,0.24169917360886006
happy,banana,SG,MG,0.13560411784663473,0.12322903447367661
happy,sandstorm,SG,MG,0.31946817867679833,0.2775824961472284
lightning,death,SG,MG,0.06413919968988169,0.08918364099515008
lightning,banana,SG,MG,0.10952154940024861,0.1413744203712134
lightning,sandstorm,SG,MG,0.1283507318003565,0.19843784524448904
death,banana,SG,MG,0.17041189868672768,0.19724064391762264
death,sandstorm,SG,MG,0.07827132483625321,0.09659640928342172
banana,sandstorm,SG,MG,0.22033696302723982,0.2665628751549918
sick,safety,SG,A3,0.11180908839534198,0.11152787586036517
sick,mango,SG,A3,0.0694996442694561,0.07536958212120226
sick,justice,SG,A3,0.380785593151312,0.39486138610167787
sick,sad,SG,A3,0.5157755159324688,0.5326989738825296
sick,tree,SG,A3,0.5996423792059244,0.5967342961640272
sick,peach,SG,A3,0.11393763250644429,0.12505873112924148
sick,angry,SG,A3,0.25891347464511805,0.2778568756872053
sick,peace,SG,A3,0.27494105032223093,0.26418873085450123
sick,happy,SG,A3,0.2882534048123524,0.2803433552988379
sick,lightning,SG,A3,0.6437666197689553,0.6748338459843843
sick,death,SG,A3,0.5988522561069947,0.6084505444409132
sick,banana,SG,A3,0.02066797516906438,0.022078590823511823
sick,sandstorm,SG,A3,0.5790015296323128,0.5787376636277968
safety,mango,SG,A3,0.0629431270683718,0.0644563806975964
safety,justice,SG,A3,0.4618276499003522,0.4633405321303503
safety,sad,SG,A3,0.5856603244526852,0.5847186027101237
safety,tree,SG,A3,0.4817805553075343,0.46342885327895056
safety,peach,SG,A3,0.23713924344541093,0.2442929244766996
safety,angry,SG,A3,0.36970319314633815,0.3739192037244563
safety,peace,SG,A3,0.36595156846277144,0.3437139138010954
safety,happy,SG,A3,0.16832883078876937,0.1589082100500726
safety,lightning,SG,A3,0.6965220955668283,0.7068068716182658
safety,death,SG,A3,0.6593914521052766,0.6498510534664703
safety,banana,SG,A3,0.11286961535931028,0.11382350842221256
safety,sandstorm,SG,A3,0.6442038733352569,0.6245127892332447
mango,justice,SG,A3,0.48876851705352786,0.5253465533399244
mango,sad,SG,A3,0.6421396956362355,0.6868726811697843
mango,tree,SG,A3,0.6446044734017727,0.6600076813365768
mango,peach,SG,A3,0.23316339268792086,0.2931129221518187
mango,angry,SG,A3,0.41407724639557064,0.4963867122770682
mango,peace,SG,A3,0.37617332706189166,0.36610808951445284
mango,happy,SG,A3,0.26918543815107077,0.26652800579474567
mango,lightning,SG,A3,0.7594679217570246,0.8187634731867917
mango,death,SG,A3,0.7307409602012145,0.7638047580930332
mango,banana,SG,A3,0.06507013314821841,0.07787706627753477
mango,sandstorm,SG,A3,0.7269029080519873,0.7477097618258037
justice,sad,SG,A3,0.12827220269466455,0.13391780474503023
justice,tree,SG,A3,0.82605501217235755,0.8270398294300538
justice,peach,SG,A3,0.3489811671952101,0.3815897534972117
justice,angry,SG,A3,0.22511693693498003,0.2427613947417212
justice,peace,SG,A3,0.11384370779165442,0.11012487910091973
justice,happy,SG,A3,0.6109886777384168,0.6010882964686972
justice,lightning,SG,A3,0.30096116074086465,0.3209663412601118
justice,death,SG,A3,0.21875562865760712,0.2245431881801776
justice,banana,SG,A3,0.4615421512387179,0.4908902248730048
justice,sandstorm,SG,A3,0.16934498567551515,0.17066404545529879
sad,tree,SG,A3,0.9050718912010343,0.9031318557698262
sad,peach,SG,A3,0.5188393782274752,0.5673421822065781
sad,angry,SG,A3,0.40191529700904316,0.43397770985641015
sad,peace,SG,A3,0.24732137503493323,0.23703363263006128
sad,happy,SG,A3,0.726213941064577,0.7114567286459419
sad,lightning,SG,A3,0.19344089302389178,0.20738101944581988
sad,death,SG,A3,0.09558299782842594,0.09781828082142696
sad,banana,SG,A3,0.6238602763719081,0.660370494533203
sad,sandstorm,SG,A3,0.033542637103896045,0.033555639289537975
tree,peach,SG,A3,0.784586571168727,0.8043320187397429
tree,angry,SG,A3,0.8656448939434158,0.871305646190383
tree,peace,SG,A3,0.7712476973852023,0.7289648638575259
tree,happy,SG,A3,0.34165487483218193,0.31684542673147087
tree,lightning,SG,A3,0.9421685591841731,0.9484801710867878
tree,death,SG,A3,0.9396088020438964,0.931351619577796
tree,banana,SG,A3,0.7023828852400904,0.7065389779433437
tree,sandstorm,SG,A3,0.9452875186869751,0.9287531056341698
peach,angry,SG,A3,0.1984302860208973,0.2545156073178789
peach,peace,SG,A3,0.22047742487336186,0.21497838285677662
peach,happy,SG,A3,0.446799393902628,0.44480017855589393
peach,lightning,SG,A3,0.6688255603084359,0.7404204024251864
peach,death,SG,A3,0.6247785350172166,0.6652360351314295
peach,banana,SG,A3,0.18000955744538127,0.2235818178165887
peach,sandstorm,SG,A3,0.6112685611341424,0.6386870601530932
angry,peace,SG,A3,0.08678787977777258,0.08296886224406608
angry,happy,SG,A3,0.5731864504846312,0.5609295205774028
angry,lightning,SG,A3,0.5793075950725604,0.6394566181018675
angry,death,SG,A3,0.5193828549936359,0.5454064266040819
angry,banana,SG,A3,0.3753070626484071,0.4438525913510437
angry,sandstorm,SG,A3,0.49384253060412453,0.5052481950665086
peace,happy,SG,A3,0.5259535013497966,0.4847174441018043
peace,lightning,SG,A3,0.4099345267919752,0.40236645527096426
peace,death,SG,A3,0.33801339344662695,0.31843281493646036
