concept,color,weight,se,hex,barStroke,expCountry
justice,SO,0.2546,0.0413,#f89e2d,#f89e2d,usa
justice,SP,0.2242,0.0415,#b740da,#b740da,usa
justice,SR,0.28,0.046,#f03a52,#f03a52,usa
justice,SY,0.2696,0.0437,#fff329,#fff329,usa
justice,WH,0.5484,0.0558,#ffffff,#000000,usa
lightning,A1,0.3756,0.0496,#656168,#656168,usa
lightning,A2,0.3102,0.0447,#9d97a0,#9d97a0,usa
lightning,A3,0.51,0.0505,#d8cfdb,#d8cfdb,usa
lightning,BK,0.3808,0.0516,#323033,#323033,usa
lightning,DB,0.1768,0.0324,#386089,#386089,usa
lightning,DC,0.07,0.0174,#297375,#297375,usa
lightning,DG,0.0454,0.011,#21704f,#21704f,usa
lightning,DH,0.0508,0.0118,#677f35,#677f35,usa
lightning,DO,0.0864,0.0226,#864d2b,#864d2b,usa
lightning,DP,0.0864,0.0228,#723484,#723484,usa
lightning,DR,0.0976,0.0273,#8a2b38,#8a2b38,usa
lightning,DY,0.1704,0.0347,#8a7527,#8a7527,usa
lightning,LB,0.2592,0.0395,#aacffb,#aacffb,usa
lightning,LC,0.197,0.0373,#9de5e4,#9de5e4,usa
lightning,LG,0.1256,0.0297,#95e2b8,#95e2b8,usa
lightning,LH,0.4064,0.0466,#dbf099,#dbf099,usa
lightning,LO,0.266,0.0418,#fbc9a3,#fbc9a3,usa
lightning,LP,0.0986,0.0242,#dfa7fa,#dfa7fa,usa
lightning,LR,0.1342,0.0348,#fc9fa3,#fc9fa3,usa
lightning,LY,0.6106,0.0458,#fff498,#fff498,usa
lightning,MB,0.1838,0.0325,#7196c0,#7196c0,usa
lightning,MC,0.0958,0.0223,#65acac,#65acac,usa
lightning,MG,0.063,0.0169,#62ae88,#62ae88,usa
lightning,MH,0.1054,0.0219,#a0b668,#a0b668,usa
lightning,MO,0.1292,0.0277,#ce916c,#ce916c,usa
lightning,MP,0.0836,0.0224,#a66fbd,#a66fbd,usa
lightning,MR,0.1142,0.0312,#c5666b,#c5666b,usa
lightning,MY,0.305,0.0432,#dab572,#dab572,usa
lightning,SB,0.2398,0.0413,#4fa7ef,#4fa7ef,usa
lightning,SC,0.1882,0.0412,#27d1cd,#27d1cd,usa
lightning,SG,0.0752,0.0243,#04c981,#04c981,usa
lightning,SH,0.2956,0.0441,#bde638,#bde638,usa
lightning,SO,0.3088,0.0479,#f89e2d,#f89e2d,usa
lightning,SP,0.1004,0.0274,#b740da,#b740da,usa
lightning,SR,0.17,0.041,#f03a52,#f03a52,usa
lightning,SY,0.681,0.0551,#fff329,#fff329,usa
lightning,WH,0.7758,0.0431,#ffffff,#000000,usa
mango,A1,0.0426,0.0139,#656168,#656168,usa
mango,A2,0.0432,0.0151,#9d97a0,#9d97a0,usa
mango,A3,0.0602,0.0169,#d8cfdb,#d8cfdb,usa
mango,BK,0.0498,0.0165,#323033,#323033,usa
mango,DB,0.046,0.0122,#386089,#386089,usa
mango,DC,0.051,0.0134,#297375,#297375,usa
mango,DG,0.2178,0.0377,#21704f,#21704f,usa
mango,DH,0.2748,0.0399,#677f35,#677f35,usa
mango,DO,0.2664,0.0387,#864d2b,#864d2b,usa
mango,DP,0.0458,0.0129,#723484,#723484,usa
mango,DR,0.2406,0.0364,#8a2b38,#8a2b38,usa
mango,DY,0.2826,0.0371,#8a7527,#8a7527,usa
mango,LB,0.0486,0.0134,#aacffb,#aacffb,usa
mango,LC,0.0738,0.0174,#9de5e4,#9de5e4,usa
mango,LG,0.1262,0.0265,#95e2b8,#95e2b8,usa
mango,LH,0.2614,0.0377,#dbf099,#dbf099,usa
mango,LO,0.511,0.042,#fbc9a3,#fbc9a3,usa
mango,LP,0.0506,0.0147,#dfa7fa,#dfa7fa,usa
mango,LR,0.3972,0.0448,#fc9fa3,#fc9fa3,usa
mango,LY,0.41,0.0396,#fff498,#fff498,usa
mango,MB,0.0418,0.0118,#7196c0,#7196c0,usa
mango,MC,0.059,0.0161,#65acac,#65acac,usa
mango,MG,0.195,0.0341,#62ae88,#62ae88,usa
mango,MH,0.2602,0.037,#a0b668,#a0b668,usa
mango,MO,0.585,0.0439,#ce916c,#ce916c,usa
mango,MP,0.0536,0.015,#a66fbd,#a66fbd,usa
mango,MR,0.4012,0.0464,#c5666b,#c5666b,usa
mango,MY,0.5876,0.0398,#dab572,#dab572,usa
mango,SB,0.0372,0.0091,#4fa7ef,#4fa7ef,usa
mango,SC,0.0516,0.0127,#27d1cd,#27d1cd,usa
mango,SG,0.198,0.0365,#04c981,#04c981,usa
mango,SH,0.2394,0.0345,#bde638,#bde638,usa
mango,SO,0.7842,0.0333,#f89e2d,#f89e2d,usa
mango,SP,0.0524,0.0143,#b740da,#b740da,usa
mango,SR,0.3182,0.0475,#f03a52,#f03a52,usa
mango,SY,0.4636,0.04,#fff329,#fff329,usa
mango,WH,0.0924,0.0285,#ffffff,#000000,usa
peace,A1,0.1886,0.0333,#656168,#656168,usa
peace,A2,0.2364,0.0324,#9d97a0,#9d97a0,usa
peace,A3,0.5726,0.045,#d8cfdb,#d8cfdb,usa
peace,BK,0.1206,0.0229,#323033,#323033,usa
peace,DB,0.5406,0.0447,#386089,#386089,usa
peace,DC,0.5204,0.0429,#297375,#297375,usa
peace,DG,0.4608,0.0454,#21704f,#21704f,usa
peace,DH,0.3594,0.039,#677f35,#677f35,usa
peace,DO,0.1764,0.0268,#864d2b,#864d2b,usa
peace,DP,0.3894,0.0426,#723484,#723484,usa
peace,DR,0.1886,0.0263,#8a2b38,#8a2b38,usa
peace,DY,0.1712,0.0295,#8a7527,#8a7527,usa
peace,LB,0.7542,0.0338,#aacffb,#aacffb,usa
peace,LC,0.683,0.0324,#9de5e4,#9de5e4,usa
peace,LG,0.5842,0.0426,#95e2b8,#95e2b8,usa
peace,LH,0.5494,0.0441,#dbf099,#dbf099,usa
peace,LO,0.5356,0.0385,#fbc9a3,#fbc9a3,usa
peace,LP,0.5568,0.0438,#dfa7fa,#dfa7fa,usa
peace,LR,0.5328,0.0401,#fc9fa3,#fc9fa3,usa
peace,LY,0.5562,0.0415,#fff498,#fff498,usa
peace,MB,0.601,0.0407,#7196c0,#7196c0,usa
peace,MC,0.61,0.0406,#65acac,#65acac,usa
peace,MG,0.5498,0.04,#62ae88,#62ae88,usa
peace,MH,0.4172,0.0395,#a0b668,#a0b668,usa
peace,MO,0.3738,0.0386,#ce916c,#ce916c,usa
peace,MP,0.4942,0.0399,#a66fbd,#a66fbd,usa
peace,MR,0.3496,0.0381,#c5666b,#c5666b,usa
peace,MY,0.4304,0.0414,#dab572,#dab572,usa
peace,SB,0.7268,0.036,#4fa7ef,#4fa7ef,usa
peace,SC,0.6592,0.0318,#27d1cd,#27d1cd,usa
peace,SG,0.4552,0.0422,#04c981,#04c981,usa
peace,SH,0.3284,0.0378,#bde638,#bde638,usa
peace,SO,0.3294,0.0416,#f89e2d,#f89e2d,usa
peace,SP,0.3694,0.041,#b740da,#b740da,usa
peace,SR,0.2054,0.031,#f03a52,#f03a52,usa
peace,SY,0.3796,0.0447,#fff329,#fff329,usa
peace,WH,0.658,0.0506,#ffffff,#000000,usa
peach,A1,0.0288,0.0087,#656168,#656168,usa
peach,A2,0.0424,0.014,#9d97a0,#9d97a0,usa
peach,A3,0.0976,0.0235,#d8cfdb,#d8cfdb,usa
peach,BK,0.0292,0.0098,#323033,#323033,usa
peach,DB,0.051,0.0126,#386089,#386089,usa
peach,DC,0.08,0.0206,#297375,#297375,usa
peach,DG,0.1328,0.0312,#21704f,#21704f,usa
peach,DH,0.1438,0.0305,#677f35,#677f35,usa
peach,DO,0.2264,0.0332,#864d2b,#864d2b,usa
peach,DP,0.0408,0.0123,#723484,#723484,usa
peach,DR,0.1198,0.0245,#8a2b38,#8a2b38,usa
peach,DY,0.1766,0.0319,#8a7527,#8a7527,usa
peach,LB,0.054,0.0137,#aacffb,#aacffb,usa
peach,LC,0.0488,0.0124,#9de5e4,#9de5e4,usa
peach,LG,0.1348,0.0261,#95e2b8,#95e2b8,usa
peach,LH,0.2424,0.0358,#dbf099,#dbf099,usa
peach,LO,0.7756,0.0382,#fbc9a3,#fbc9a3,usa
peach,LP,0.0968,0.0214,#dfa7fa,#dfa7fa,usa
peach,LR,0.7042,0.0392,#fc9fa3,#fc9fa3,usa
peach,LY,0.4142,0.0408,#fff498,#fff498,usa
peach,MB,0.0502,0.0126,#7196c0,#7196c0,usa
peach,MC,0.0624,0.0143,#65acac,#65acac,usa
peach,MG,0.1732,0.0334,#62ae88,#62ae88,usa
peach,MH,0.1872,0.0318,#a0b668,#a0b668,usa
peach,MO,0.7888,0.0336,#ce916c,#ce916c,usa
peach,MP,0.0594,0.0168,#a66fbd,#a66fbd,usa
peach,MR,0.5626,0.0467,#c5666b,#c5666b,usa
peach,MY,0.6116,0.0374,#dab572,#dab572,usa
peach,SB,0.0508,0.0132,#4fa7ef,#4fa7ef,usa
peach,SC,0.0562,0.0154,#27d1cd,#27d1cd,usa
peach,SG,0.1218,0.0277,#04c981,#04c981,usa
peach,SH,0.1252,0.0247,#bde638,#bde638,usa
peach,SO,0.6312,0.0395,#f89e2d,#f89e2d,usa
peach,SP,0.0788,0.0211,#b740da,#b740da,usa
peach,SR,0.1894,0.0322,#f03a52,#f03a52,usa
peach,SY,0.2594,0.0398,#fff329,#fff329,usa
peach,WH,0.1114,0.0285,#ffffff,#000000,usa
sad,A1,0.7964,0.0333,#656168,#656168,usa
sad,A2,0.7026,0.0394,#9d97a0,#9d97a0,usa
sad,A3,0.4174,0.0479,#d8cfdb,#d8cfdb,usa
sad,BK,0.795,0.0415,#323033,#323033,usa
sad,DB,0.5434,0.0545,#386089,#386089,usa
sad,DC,0.3846,0.0401,#297375,#297375,usa
sad,DG,0.26,0.0361,#21704f,#21704f,usa
sad,DH,0.2784,0.0386,#677f35,#677f35,usa
sad,DO,0.376,0.0443,#864d2b,#864d2b,usa
sad,DP,0.2912,0.0412,#723484,#723484,usa
sad,DR,0.3208,0.0383,#8a2b38,#8a2b38,usa
sad,DY,0.4402,0.0426,#8a7527,#8a7527,usa
sad,LB,0.3498,0.0457,#aacffb,#aacffb,usa
sad,LC,0.257,0.0391,#9de5e4,#9de5e4,usa
sad,LG,0.146,0.0285,#95e2b8,#95e2b8,usa
sad,LH,0.1354,0.0265,#dbf099,#dbf099,usa
sad,LO,0.1774,0.0279,#fbc9a3,#fbc9a3,usa
sad,LP,0.1722,0.0313,#dfa7fa,#dfa7fa,usa
sad,LR,0.1156,0.0235,#fc9fa3,#fc9fa3,usa
sad,LY,0.1208,0.0221,#fff498,#fff498,usa
sad,MB,0.4906,0.0503,#7196c0,#7196c0,usa
sad,MC,0.3428,0.0429,#65acac,#65acac,usa
sad,MG,0.2216,0.0315,#62ae88,#62ae88,usa
sad,MH,0.2904,0.0358,#a0b668,#a0b668,usa
sad,MO,0.2566,0.0361,#ce916c,#ce916c,usa
sad,MP,0.2126,0.0315,#a66fbd,#a66fbd,usa
sad,MR,0.2122,0.0349,#c5666b,#c5666b,usa
sad,MY,0.2374,0.0339,#dab572,#dab572,usa
sad,SB,0.353,0.0471,#4fa7ef,#4fa7ef,usa
sad,SC,0.215,0.0377,#27d1cd,#27d1cd,usa
sad,SG,0.1174,0.0251,#04c981,#04c981,usa
sad,SH,0.106,0.0188,#bde638,#bde638,usa
sad,SO,0.0838,0.0169,#f89e2d,#f89e2d,usa
sad,SP,0.1294,0.0264,#b740da,#b740da,usa
sad,SR,0.1296,0.0298,#f03a52,#f03a52,usa
sad,SY,0.0626,0.0191,#fff329,#fff329,usa
sad,WH,0.2284,0.0372,#ffffff,#000000,usa
safety,A1,0.223,0.0406,#656168,#656168,usa
safety,A2,0.2158,0.035,#9d97a0,#9d97a0,usa
safety,A3,0.3274,0.042,#d8cfdb,#d8cfdb,usa
safety,BK,0.1376,0.0273,#323033,#323033,usa
safety,DB,0.4336,0.0471,#386089,#386089,usa
safety,DC,0.3758,0.0402,#297375,#297375,usa
safety,DG,0.4914,0.047,#21704f,#21704f,usa
safety,DH,0.369,0.0459,#677f35,#677f35,usa
safety,DO,0.205,0.0322,#864d2b,#864d2b,usa
safety,DP,0.267,0.0404,#723484,#723484,usa
safety,DR,0.343,0.0433,#8a2b38,#8a2b38,usa
safety,DY,0.175,0.0314,#8a7527,#8a7527,usa
safety,LB,0.4148,0.048,#aacffb,#aacffb,usa
safety,LC,0.4196,0.0429,#9de5e4,#9de5e4,usa
safety,LG,0.429,0.0449,#95e2b8,#95e2b8,usa
safety,LH,0.3592,0.0377,#dbf099,#dbf099,usa
safety,LO,0.3326,0.0389,#fbc9a3,#fbc9a3,usa
safety,LP,0.2744,0.0389,#dfa7fa,#dfa7fa,usa
safety,LR,0.3408,0.0404,#fc9fa3,#fc9fa3,usa
safety,LY,0.3682,0.0431,#fff498,#fff498,usa
safety,MB,0.4252,0.042,#7196c0,#7196c0,usa
