concept,color,weight,se,hex,barStroke,expCountry
lightning,DY,0.2856,0.047,#8a7527,#8a7527,mdg
lightning,LB,0.322,0.0459,#aacffb,#aacffb,mdg
lightning,LC,0.3478,0.0471,#9de5e4,#9de5e4,mdg
lightning,LG,0.2468,0.0386,#95e2b8,#95e2b8,mdg
lightning,LH,0.3102,0.0444,#dbf099,#dbf099,mdg
lightning,LO,0.3296,0.0473,#fbc9a3,#fbc9a3,mdg
lightning,LP,0.2992,0.0427,#dfa7fa,#dfa7fa,mdg
lightning,LR,0.386,0.0502,#fc9fa3,#fc9fa3,mdg
lightning,LY,0.3866,0.0476,#fff498,#fff498,mdg
lightning,MB,0.3234,0.0439,#7196c0,#7196c0,mdg
lightning,MC,0.3054,0.0435,#65acac,#65acac,mdg
lightning,MG,0.2148,0.0384,#62ae88,#62ae88,mdg
lightning,MH,0.2562,0.0416,#a0b668,#a0b668,mdg
lightning,MO,0.28,0.0435,#ce916c,#ce916c,mdg
lightning,MP,0.3518,0.0486,#a66fbd,#a66fbd,mdg
lightning,MR,0.3922,0.0534,#c5666b,#c5666b,mdg
lightning,MY,0.311,0.0449,#dab572,#dab572,mdg
lightning,SB,0.3236,0.0447,#4fa7ef,#4fa7ef,mdg
lightning,SC,0.25,0.0385,#27d1cd,#27d1cd,mdg
lightning,SG,0.1712,0.0327,#04c981,#04c981,mdg
lightning,SH,0.2946,0.0471,#bde638,#bde638,mdg
lightning,SO,0.39,0.052,#f89e2d,#f89e2d,mdg
lightning,SP,0.333,0.0472,#b740da,#b740da,mdg
lightning,SR,0.5258,0.0558,#f03a52,#f03a52,mdg
lightning,SY,0.3126,0.0463,#fff329,#fff329,mdg
lightning,WH,0.4636,0.0512,#ffffff,#000000,mdg
mango,A1,0.118,0.0238,#656168,#656168,mdg
mango,A2,0.1832,0.0356,#9d97a0,#9d97a0,mdg
mango,A3,0.1944,0.0365,#d8cfdb,#d8cfdb,mdg
mango,BK,0.1468,0.0311,#323033,#323033,mdg
mango,DB,0.237,0.0411,#386089,#386089,mdg
mango,DC,0.233,0.036,#297375,#297375,mdg
mango,DG,0.6116,0.0468,#21704f,#21704f,mdg
mango,DH,0.5078,0.0479,#677f35,#677f35,mdg
mango,DO,0.1916,0.0343,#864d2b,#864d2b,mdg
mango,DP,0.1828,0.0378,#723484,#723484,mdg
mango,DR,0.1978,0.0321,#8a2b38,#8a2b38,mdg
mango,DY,0.3326,0.0458,#8a7527,#8a7527,mdg
mango,LB,0.2242,0.0366,#aacffb,#aacffb,mdg
mango,LC,0.2392,0.036,#9de5e4,#9de5e4,mdg
mango,LG,0.422,0.0478,#95e2b8,#95e2b8,mdg
mango,LH,0.3468,0.0444,#dbf099,#dbf099,mdg
mango,LO,0.2952,0.0411,#fbc9a3,#fbc9a3,mdg
mango,LP,0.1608,0.0289,#dfa7fa,#dfa7fa,mdg
mango,LR,0.2382,0.0359,#fc9fa3,#fc9fa3,mdg
mango,LY,0.4264,0.0482,#fff498,#fff498,mdg
mango,MB,0.1982,0.0333,#7196c0,#7196c0,mdg
mango,MC,0.2136,0.0354,#65acac,#65acac,mdg
mango,MG,0.5322,0.0466,#62ae88,#62ae88,mdg
mango,MH,0.4432,0.046,#a0b668,#a0b668,mdg
mango,MO,0.21560000000000001,0.0373,#ce916c,#ce916c,mdg
mango,MP,0.1594,0.0262,#a66fbd,#a66fbd,mdg
mango,MR,0.2792,0.0402,#c5666b,#c5666b,mdg
mango,MY,0.382,0.0445,#dab572,#dab572,mdg
mango,SB,0.2028,0.0356,#4fa7ef,#4fa7ef,mdg
mango,SC,0.2604,0.0441,#27d1cd,#27d1cd,mdg
mango,SG,0.6026,0.0506,#04c981,#04c981,mdg
mango,SH,0.5518,0.0506,#bde638,#bde638,mdg
mango,SO,0.5772,0.0477,#f89e2d,#f89e2d,mdg
mango,SP,0.1868,0.0341,#b740da,#b740da,mdg
mango,SR,0.2782,0.0424,#f03a52,#f03a52,mdg
mango,SY,0.6288,0.0508,#fff329,#fff329,mdg
mango,WH,0.2322,0.0387,#ffffff,#000000,mdg
peace,A1,0.2756,0.0479,#656168,#656168,mdg
peace,A2,0.2918,0.0428,#9d97a0,#9d97a0,mdg
peace,A3,0.7084,0.0487,#d8cfdb,#d8cfdb,mdg
peace,BK,0.2002,0.0417,#323033,#323033,mdg
peace,DB,0.2616,0.042,#386089,#386089,mdg
peace,DC,0.3236,0.0476,#297375,#297375,mdg
peace,DG,0.347,0.0493,#21704f,#21704f,mdg
peace,DH,0.2914,0.0458,#677f35,#677f35,mdg
peace,DO,0.171,0.0347,#864d2b,#864d2b,mdg
peace,DP,0.2128,0.0398,#723484,#723484,mdg
peace,DR,0.2166,0.0396,#8a2b38,#8a2b38,mdg
peace,DY,0.2012,0.0357,#8a7527,#8a7527,mdg
peace,LB,0.4376,0.0503,#aacffb,#aacffb,mdg
peace,LC,0.4384,0.051,#9de5e4,#9de5e4,mdg
peace,LG,0.452,0.0488,#95e2b8,#95e2b8,mdg
peace,LH,0.4758,0.05,#dbf099,#dbf099,mdg
peace,LO,0.4486,0.0505,#fbc9a3,#fbc9a3,mdg
peace,LP,0.3498,0.046,#dfa7fa,#dfa7fa,mdg
peace,LR,0.376,0.0444,#fc9fa3,#fc9fa3,mdg
peace,LY,0.4726,0.0515,#fff498,#fff498,mdg
peace,MB,0.3648,0.0507,#7196c0,#7196c0,mdg
peace,MC,0.4032,0.0517,#65acac,#65acac,mdg
peace,MG,0.3464,0.0498,#62ae88,#62ae88,mdg
peace,MH,0.2698,0.0435,#a0b668,#a0b668,mdg
peace,MO,0.2126,0.0374,#ce916c,#ce916c,mdg
peace,MP,0.254,0.0366,#a66fbd,#a66fbd,mdg
peace,MR,0.2714,0.0434,#c5666b,#c5666b,mdg
peace,MY,0.3072,0.0462,#dab572,#dab572,mdg
peace,SB,0.3682,0.0518,#4fa7ef,#4fa7ef,mdg
peace,SC,0.416,0.0536,#27d1cd,#27d1cd,mdg
peace,SG,0.4092,0.0518,#04c981,#04c981,mdg
peace,SH,0.4102,0.0513,#bde638,#bde638,mdg
peace,SO,0.334,0.0476,#f89e2d,#f89e2d,mdg
peace,SP,0.2536,0.0455,#b740da,#b740da,mdg
peace,SR,0.3032,0.0508,#f03a52,#f03a52,mdg
peace,SY,0.2968,0.0464,#fff329,#fff329,mdg
peace,WH,0.7246,0.0474,#ffffff,#000000,mdg
peach,A1,0.243,0.0486,#656168,#656168,mdg
peach,A2,0.215,0.0422,#9d97a0,#9d97a0,mdg
peach,A3,0.23,0.0448,#d8cfdb,#d8cfdb,mdg
peach,BK,0.2016,0.0396,#323033,#323033,mdg
peach,DB,0.2244,0.043,#386089,#386089,mdg
peach,DC,0.233,0.0387,#297375,#297375,mdg
peach,DG,0.501,0.0524,#21704f,#21704f,mdg
peach,DH,0.3804,0.0445,#677f35,#677f35,mdg
peach,DO,0.3198,0.0486,#864d2b,#864d2b,mdg
peach,DP,0.1922,0.0366,#723484,#723484,mdg
peach,DR,0.3834,0.052,#8a2b38,#8a2b38,mdg
peach,DY,0.2768,0.04,#8a7527,#8a7527,mdg
peach,LB,0.2988,0.0469,#aacffb,#aacffb,mdg
peach,LC,0.311,0.0472,#9de5e4,#9de5e4,mdg
peach,LG,0.441,0.0493,#95e2b8,#95e2b8,mdg
peach,LH,0.3076,0.0446,#dbf099,#dbf099,mdg
peach,LO,0.286,0.0435,#fbc9a3,#fbc9a3,mdg
peach,LP,0.2678,0.0435,#dfa7fa,#dfa7fa,mdg
peach,LR,0.43,0.0507,#fc9fa3,#fc9fa3,mdg
peach,LY,0.3402,0.0463,#fff498,#fff498,mdg
peach,MB,0.258,0.0449,#7196c0,#7196c0,mdg
