country,concept_a,concept_b,color_1,color_2,A_to_C1,B_to_C2,A_to_C2,B_to_C1
MDG,angry,banana,DG,DO,0.26239999999999997,0.1568,0.3696,0.4858
MDG,angry,banana,DG,DP,0.26239999999999997,0.156,0.26940000000000003,0.4858
MDG,angry,banana,DG,DR,0.26239999999999997,0.13140000000000002,0.6368,0.4858
MDG,angry,banana,DG,DY,0.26239999999999997,0.3506,0.29960000000000003,0.4858
MDG,angry,banana,DG,LB,0.26239999999999997,0.128,0.1918,0.4858
MDG,angry,banana,DG,LC,0.26239999999999997,0.1574,0.2486,0.4858
MDG,angry,banana,DG,LG,0.26239999999999997,0.3196,0.2164,0.4858
MDG,angry,banana,DG,LH,0.26239999999999997,0.4714,0.2452,0.4858
MDG,angry,banana,DG,LO,0.26239999999999997,0.2138,0.24719999999999998,0.4858
MDG,angry,banana,DG,LP,0.26239999999999997,0.16240000000000002,0.28600000000000003,0.4858
MDG,angry,banana,DG,LR,0.26239999999999997,0.1704,0.29059999999999997,0.4858
MDG,angry,banana,DG,LY,0.26239999999999997,0.5138,0.1766,0.4858
MDG,angry,banana,DG,MB,0.26239999999999997,0.08839999999999999,0.2364,0.4858
MDG,angry,banana,DG,MC,0.26239999999999997,0.1772,0.23420000000000002,0.4858
MDG,angry,banana,DG,MG,0.26239999999999997,0.48519999999999996,0.22460000000000002,0.4858
MDG,angry,banana,DG,MH,0.26239999999999997,0.4936,0.2696,0.4858
MDG,angry,banana,DG,MO,0.26239999999999997,0.23099999999999998,0.23079999999999998,0.4858
MDG,angry,banana,DG,MP,0.26239999999999997,0.1404,0.1816,0.4858
MDG,angry,banana,DG,MR,0.26239999999999997,0.1646,0.3636,0.4858
MDG,angry,banana,DG,MY,0.26239999999999997,0.4714,0.20800000000000002,0.4858
MDG,angry,banana,DG,SB,0.26239999999999997,0.1002,0.1782,0.4858
MDG,angry,banana,DG,SC,0.26239999999999997,0.1442,0.2216,0.4858
MDG,angry,banana,DG,SG,0.26239999999999997,0.5318,0.18580000000000002,0.4858
MDG,angry,banana,DG,SH,0.26239999999999997,0.6356,0.247,0.4858
MDG,angry,banana,DG,SO,0.26239999999999997,0.424,0.3094,0.4858
MDG,angry,banana,DG,SP,0.26239999999999997,0.14859999999999998,0.252,0.4858
MDG,angry,banana,DG,SR,0.26239999999999997,0.16219999999999998,0.621,0.4858
MDG,angry,banana,DG,SY,0.26239999999999997,0.7812,0.3104,0.4858
MDG,angry,banana,DG,WH,0.26239999999999997,0.21359999999999998,0.1804,0.4858
MDG,angry,banana,DH,DO,0.2688,0.1568,0.3696,0.4152
MDG,angry,banana,DH,DP,0.2688,0.156,0.26940000000000003,0.4152
MDG,angry,banana,DH,DR,0.2688,0.13140000000000002,0.6368,0.4152
MDG,angry,banana,DH,DY,0.2688,0.3506,0.29960000000000003,0.4152
MDG,angry,banana,DH,LB,0.2688,0.128,0.1918,0.4152
MDG,angry,banana,DH,LC,0.2688,0.1574,0.2486,0.4152
MDG,angry,banana,DH,LG,0.2688,0.3196,0.2164,0.4152
MDG,angry,banana,DH,LH,0.2688,0.4714,0.2452,0.4152
MDG,angry,banana,DH,LO,0.2688,0.2138,0.24719999999999998,0.4152
MDG,angry,banana,DH,LP,0.2688,0.16240000000000002,0.28600000000000003,0.4152
MDG,angry,banana,DH,LR,0.2688,0.1704,0.29059999999999997,0.4152
MDG,angry,banana,DH,LY,0.2688,0.5138,0.1766,0.4152
MDG,angry,banana,DH,MB,0.2688,0.08839999999999999,0.2364,0.4152
MDG,angry,banana,DH,MC,0.2688,0.1772,0.23420000000000002,0.4152
MDG,angry,banana,DH,MG,0.2688,0.48519999999999996,0.22460000000000002,0.4152
MDG,angry,banana,DH,MH,0.2688,0.4936,0.2696,0.4152
MDG,angry,banana,DH,MO,0.2688,0.23099999999999998,0.23079999999999998,0.4152
MDG,angry,banana,DH,MP,0.2688,0.1404,0.1816,0.4152
MDG,angry,banana,DH,MR,0.2688,0.1646,0.3636,0.4152
MDG,angry,banana,DH,MY,0.2688,0.4714,0.20800000000000002,0.4152
MDG,angry,banana,DH,SB,0.2688,0.1002,0.1782,0.4152
MDG,angry,banana,DH,SC,0.2688,0.1442,0.2216,0.4152
MDG,angry,banana,DH,SG,0.2688,0.5318,0.18580000000000002,0.4152
MDG,angry,banana,DH,SH,0.2688,0.6356,0.247,0.4152
MDG,angry,banana,DH,SO,0.2688,0.424,0.3094,0.4152
MDG,angry,banana,DH,SP,0.2688,0.14859999999999998,0.252,0.4152
MDG,angry,banana,DH,SR,0.2688,0.16219999999999998,0.621,0.4152
MDG,angry,banana,DH,SY,0.2688,0.7812,0.3104,0.4152
MDG,angry,banana,DH,WH,0.2688,0.21359999999999998,0.1804,0.4152
MDG,angry,banana,DO,DP,0.3696,0.156,0.26940000000000003,0.1568
MDG,angry,banana,DO,DR,0.3696,0.13140000000000002,0.6368,0.1568
MDG,angry,banana,DO,DY,0.3696,0.3506,0.29960000000000003,0.1568
MDG,angry,banana,DO,LB,0.3696,0.128,0.1918,0.1568
MDG,angry,banana,DO,LC,0.3696,0.1574,0.2486,0.1568
MDG,angry,banana,DO,LG,0.3696,0.3196,0.2164,0.1568
MDG,angry,banana,DO,LH,0.3696,0.4714,0.2452,0.1568
MDG,angry,banana,DO,LO,0.3696,0.2138,0.24719999999999998,0.1568
