expCountry,concept,color,weight,se,hex,barStroke
usa,mango,MC,0.059,0.016,#65acac,#65acac
usa,mango,MG,0.195,0.034,#62ae88,#62ae88
usa,mango,MH,0.26,0.037,#a0b668,#a0b668
usa,mango,MO,0.585,0.044,#ce916c,#ce916c
usa,mango,MP,0.054,0.015,#a66fbd,#a66fbd
usa,mango,MR,0.401,0.046,#c5666b,#c5666b
usa,mango,MY,0.588,0.04,#dab572,#dab572
usa,mango,SB,0.037,0.009,#4fa7ef,#4fa7ef
usa,mango,SC,0.052,0.013,#27d1cd,#27d1cd
usa,mango,SG,0.198,0.036,#04c981,#04c981
usa,mango,SH,0.239,0.035,#bde638,#bde638
usa,mango,SO,0.784,0.033,#f89e2d,#f89e2d
usa,mango,SP,0.052,0.014,#b740da,#b740da
usa,mango,SR,0.318,0.048,#f03a52,#f03a52
usa,mango,SY,0.464,0.04,#fff329,#fff329
usa,mango,WH,0.092,0.029,#ffffff,#000000
usa,peace,A1,0.189,0.033,#656168,#656168
usa,peace,A2,0.236,0.032,#9d97a0,#9d97a0
usa,peace,A3,0.573,0.045,#d8cfdb,#d8cfdb
usa,peace,BK,0.121,0.023,#323033,#323033
usa,peace,DB,0.541,0.045,#386089,#386089
usa,peace,DC,0.52,0.043,#297375,#297375
usa,peace,DG,0.461,0.045,#21704f,#21704f
usa,peace,DH,0.359,0.039,#677f35,#677f35
usa,peace,DO,0.176,0.027,#864d2b,#864d2b
usa,peace,DP,0.389,0.043,#723484,#723484
usa,peace,DR,0.189,0.026,#8a2b38,#8a2b38
usa,peace,DY,0.171,0.029,#8a7527,#8a7527
usa,peace,LB,0.754,0.034,#aacffb,#aacffb
usa,peace,LC,0.683,0.032,#9de5e4,#9de5e4
usa,peace,LG,0.584,0.043,#95e2b8,#95e2b8
usa,peace,LH,0.549,0.044,#dbf099,#dbf099
usa,peace,LO,0.536,0.039,#fbc9a3,#fbc9a3
usa,peace,LP,0.557,0.044,#dfa7fa,#dfa7fa
usa,peace,LR,0.533,0.04,#fc9fa3,#fc9fa3
usa,peace,LY,0.556,0.042,#fff498,#fff498
usa,peace,MB,0.601,0.041,#7196c0,#7196c0
usa,peace,MC,0.61,0.041,#65acac,#65acac
usa,peace,MG,0.55,0.04,#62ae88,#62ae88
usa,peace,MH,0.417,0.04,#a0b668,#a0b668
usa,peace,MO,0.374,0.039,#ce916c,#ce916c
usa,peace,MP,0.494,0.04,#a66fbd,#a66fbd
usa,peace,MR,0.35,0.038,#c5666b,#c5666b
usa,peace,MY,0.43,0.041,#dab572,#dab572
usa,peace,SB,0.727,0.036,#4fa7ef,#4fa7ef
usa,peace,SC,0.659,0.032,#27d1cd,#27d1cd
usa,peace,SG,0.455,0.042,#04c981,#04c981
usa,peace,SH,0.328,0.038,#bde638,#bde638
usa,peace,SO,0.329,0.042,#f89e2d,#f89e2d
usa,peace,SP,0.369,0.041,#b740da,#b740da
usa,peace,SR,0.205,0.031,#f03a52,#f03a52
usa,peace,SY,0.38,0.045,#fff329,#fff329
usa,peace,WH,0.658,0.051,#ffffff,#000000
usa,peach,A1,0.029,0.009,#656168,#656168
usa,peach,A2,0.042,0.014,#9d97a0,#9d97a0
usa,peach,A3,0.098,0.023,#d8cfdb,#d8cfdb
usa,peach,BK,0.029,0.01,#323033,#323033
usa,peach,DB,0.051,0.013,#386089,#386089
usa,peach,DC,0.08,0.021,#297375,#297375
usa,peach,DG,0.133,0.031,#21704f,#21704f
usa,peach,DH,0.144,0.03,#677f35,#677f35
usa,peach,DO,0.226,0.033,#864d2b,#864d2b
usa,peach,DP,0.041,0.012,#723484,#723484
usa,peach,DR,0.12,0.024,#8a2b38,#8a2b38
usa,peach,DY,0.177,0.032,#8a7527,#8a7527
usa,peach,LB,0.054,0.014,#aacffb,#aacffb
