concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category
happy,justice,A3,SH,0.3428094337010117,0.7018561259810145,high,high,MG_high__US_high
happy,justice,DB,SH,0.058067424853279925,0.6056219120463826,low,high,MG_low__US_high
happy,justice,LH,LY,0.022760929647366757,0.03598915094868621,low,low,MG_low__US_low
happy,lightning,A1,DG,0.4222196341564199,0.7870704785567346,high,high,MG_high__US_high
happy,lightning,A2,A3,0.3486744305990346,0.020626556270661345,high,low,MG_high__US_low
happy,lightning,A1,DR,0.010581420918623685,0.6969849185455965,low,high,MG_low__US_high
happy,lightning,LC,MC,0.0694837574415117,0.1515896047806078,low,low,MG_low__US_low
happy,mango,MY,SB,0.41836664932250933,0.7840211749249257,high,high,MG_high__US_high
happy,mango,DH,DR,0.4094150932067653,0.08901837870787066,high,low,MG_high__US_low
happy,mango,A1,MP,0.040306599794599496,0.7056018573432277,low,high,MG_low__US_high
happy,mango,A1,DR,0.033490193168524085,0.017847391133480828,low,low,MG_low__US_low
happy,peace,SY,WH,0.3700137195987758,0.6403222225200413,high,high,MG_high__US_high
happy,peace,A3,DB,0.3754365942420921,0.15077875382481037,high,low,MG_high__US_low
happy,peace,DB,SR,0.06890787335695925,0.5950432846766116,low,high,MG_low__US_high
happy,peace,LY,MY,0.013017569143135344,0.12586390856020646,low,low,MG_low__US_low
happy,peach,MR,SC,0.3365968284323717,0.7868200560804899,high,high,MG_high__US_high
happy,peach,A3,MH,0.4522314404864114,0.010860124964575224,high,low,MG_high__US_low
happy,peach,A3,SC,0.04859426741463868,0.615616785885928,low,high,MG_low__US_high
happy,peach,DC,MB,0.07095975910566871,0.06997955247290516,low,low,MG_low__US_low
happy,sad,A2,DG,0.5791589712930874,0.8116266286043394,high,high,MG_high__US_high
happy,sad,LR,SP,0.3652782832046748,0.14190108253043943,high,low,MG_high__US_low
happy,sad,SY,WH,0.05939243537489736,0.6406753367749769,low,high,MG_low__US_high
happy,sad,SH,SO,0.013255678682591698,0.05915564259779332,low,low,MG_low__US_low
happy,safety,A1,LP,0.37992160319084123,0.6774455745507177,high,high,MG_high__US_high
happy,safety,A3,BK,0.3548412946461563,0.034637135294326216,high,low,MG_high__US_low
happy,safety,MO,SG,0.022306621796911674,0.03447902849843332,low,low,MG_low__US_low
happy,sandstorm,A2,LC,0.5785492587336325,0.9028253927717174,high,high,MG_high__US_high
happy,sandstorm,MH,WH,0.4132258593083451,0.028887371253322358,high,low,MG_high__US_low
happy,sandstorm,A3,LG,0.042898824705745964,0.7108456222241508,low,high,MG_low__US_high
happy,sandstorm,LR,SY,0.08016348976062049,0.13215386739567775,low,low,MG_low__US_low
happy,sick,DR,SC,0.35089556462401617,0.713227278597371,high,high,MG_high__US_high
