concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us
angry,sandstorm,MG_low__US_low,DB,SG,0.003142911951528271,0.07895695649602064
angry,tree,MG_high__US_high,DB,SG,0.6998064893806784,0.8766605754250729
banana,death,MG_high__US_high,DB,SG,0.6815588796142227,0.6207654300661389
banana,happy,MG_high__US_low,DB,SG,0.4380183971164391,0.13076957600703776
banana,sad,MG_high__US_high,DB,SG,0.6421609364374166,0.8109953496601618
banana,safety,MG_high__US_low,DB,SG,0.4176093194073384,0.08843417434565426
banana,sick,MG_high__US_low,DB,SG,0.5446753335466161,0.004060004797693084
death,justice,MG_low__US_low,DB,SG,0.022093831831641486,0.06929357943703535
death,mango,MG_high__US_high,DB,SG,0.5689168191867244,0.6339409589443676
death,tree,MG_high__US_high,DB,SG,0.774920361723024,0.897139587086506
happy,mango,MG_high__US_low,DB,SG,0.35593590391596774,0.09775514675009767
happy,sick,MG_low__US_low,DB,SG,0.056568304711662576,0.10807287780019686
justice,tree,MG_high__US_high,DB,SG,0.6423386476923094,0.8324347160652432
lightning,peace,MG_high__US_low,DB,SG,0.37907694652501567,0.024245308168549418
lightning,tree,MG_high__US_high,DB,SG,0.7711725972925287,0.8849089545652344
mango,sad,MG_high__US_high,DB,SG,0.5407640229127468,0.8158921141157374
mango,safety,MG_high__US_low,DB,SG,0.3334187919305933,0.11694236209174441
mango,sick,MG_high__US_low,DB,SG,0.45096438451100385,0.03243418012284366
peace,tree,MG_high__US_high,DB,SG,0.4524070380025291,0.7095545737907765
peach,sad,MG_high__US_high,DB,SG,0.4383224992430965,0.7801786837624785
peach,sick,MG_high__US_low,DB,SG,0.35087263962719883,0.12163773687013668
sad,sandstorm,MG_low__US_high,DB,SG,0.06596017036599355,0.6860712299807301
sad,sick,MG_low__US_high,DB,SG,0.06941599990436909,0.7083977636821404
sad,tree,MG_high__US_high,DB,SG,0.7325878622660897,0.9447668895018484
sandstorm,tree,MG_high__US_high,DB,SG,0.7262160640289792,0.8900411567553612
angry,banana,MG_high__US_high,DB,SH,0.6401600184673426,0.6184542170561769
angry,safety,MG_low__US_low,DB,SH,0.012620713779817772,0.06873402423372793
angry,sandstorm,MG_low__US_low,DB,SH,0.07024333737503308,0.03785225273038928
banana,death,MG_high__US_high,DB,SH,0.7243397631385011,0.7814174673548495
banana,happy,MG_high__US_low,DB,SH,0.5108450896101719,0.13577203712089614
banana,justice,MG_high__US_high,DB,SH,0.5955821423539764,0.7609134437407112
banana,peace,MG_high__US_high,DB,SH,0.47102202709459323,0.6808049736133093
banana,sad,MG_high__US_high,DB,SH,0.7390564637290518,0.8887608501174338
banana,sandstorm,MG_high__US_high,DB,SH,0.6013375591583041,0.6433262420173294
banana,tree,MG_high__US_low,DB,SH,0.39814454511257136,0.09448710754441447
