expCountry,concept,color,weight,se,hex,barStroke,con,concep
mdg,lightning,MG,0.215,0.038,#62ae88,#62ae88,lightning,lightning
mdg,lightning,MH,0.256,0.042,#a0b668,#a0b668,lightning,lightning
mdg,lightning,MO,0.28,0.043,#ce916c,#ce916c,lightning,lightning
mdg,lightning,MP,0.352,0.049,#a66fbd,#a66fbd,lightning,lightning
mdg,lightning,MR,0.392,0.053,#c5666b,#c5666b,lightning,lightning
mdg,lightning,MY,0.311,0.045,#dab572,#dab572,lightning,lightning
mdg,lightning,SB,0.324,0.045,#4fa7ef,#4fa7ef,lightning,lightning
mdg,lightning,SC,0.25,0.039,#27d1cd,#27d1cd,lightning,lightning
mdg,lightning,SG,0.171,0.033,#04c981,#04c981,lightning,lightning
mdg,lightning,SH,0.295,0.047,#bde638,#bde638,lightning,lightning
mdg,lightning,SO,0.39,0.052,#f89e2d,#f89e2d,lightning,lightning
mdg,lightning,SP,0.333,0.047,#b740da,#b740da,lightning,lightning
mdg,lightning,SR,0.526,0.056,#f03a52,#f03a52,lightning,lightning
mdg,lightning,SY,0.313,0.046,#fff329,#fff329,lightning,lightning
mdg,lightning,WH,0.464,0.051,#ffffff,#000000,lightning,lightning
mdg,mango,A1,0.118,0.024,#656168,#656168,mango,mango
mdg,mango,A2,0.183,0.036,#9d97a0,#9d97a0,mango,mango
mdg,mango,A3,0.194,0.036,#d8cfdb,#d8cfdb,mango,mango
mdg,mango,BK,0.147,0.031,#323033,#323033,mango,mango
mdg,mango,DB,0.237,0.041,#386089,#386089,mango,mango
mdg,mango,DC,0.233,0.036,#297375,#297375,mango,mango
mdg,mango,DG,0.612,0.047,#21704f,#21704f,mango,mango
mdg,mango,DH,0.508,0.048,#677f35,#677f35,mango,mango
mdg,mango,DO,0.192,0.034,#864d2b,#864d2b,mango,mango
mdg,mango,DP,0.183,0.038,#723484,#723484,mango,mango
mdg,mango,DR,0.198,0.032,#8a2b38,#8a2b38,mango,mango
mdg,mango,DY,0.333,0.046,#8a7527,#8a7527,mango,mango
mdg,mango,LB,0.224,0.037,#aacffb,#aacffb,mango,mango
mdg,mango,LC,0.239,0.036,#9de5e4,#9de5e4,mango,mango
mdg,mango,LG,0.422,0.048,#95e2b8,#95e2b8,mango,mango
mdg,mango,LH,0.347,0.044,#dbf099,#dbf099,mango,mango
mdg,mango,LO,0.295,0.041,#fbc9a3,#fbc9a3,mango,mango
mdg,mango,LP,0.161,0.029,#dfa7fa,#dfa7fa,mango,mango
mdg,mango,LR,0.238,0.036,#fc9fa3,#fc9fa3,mango,mango
mdg,mango,LY,0.426,0.048,#fff498,#fff498,mango,mango
mdg,mango,MB,0.198,0.033,#7196c0,#7196c0,mango,mango
mdg,mango,MC,0.214,0.035,#65acac,#65acac,mango,mango
mdg,mango,MG,0.532,0.047,#62ae88,#62ae88,mango,mango
mdg,mango,MH,0.443,0.046,#a0b668,#a0b668,mango,mango
mdg,mango,MO,0.216,0.037,#ce916c,#ce916c,mango,mango
mdg,mango,MP,0.159,0.026,#a66fbd,#a66fbd,mango,mango
mdg,mango,MR,0.279,0.04,#c5666b,#c5666b,mango,mango
mdg,mango,MY,0.382,0.044,#dab572,#dab572,mango,mango
mdg,mango,SB,0.203,0.036,#4fa7ef,#4fa7ef,mango,mango
mdg,mango,SC,0.26,0.044,#27d1cd,#27d1cd,mango,mango
mdg,mango,SG,0.603,0.051,#04c981,#04c981,mango,mango
mdg,mango,SH,0.552,0.051,#bde638,#bde638,mango,mango
mdg,mango,SO,0.577,0.048,#f89e2d,#f89e2d,mango,mango
mdg,mango,SP,0.187,0.034,#b740da,#b740da,mango,mango
mdg,mango,SR,0.278,0.042,#f03a52,#f03a52,mango,mango
mdg,mango,SY,0.629,0.051,#fff329,#fff329,mango,mango
mdg,mango,WH,0.232,0.039,#ffffff,#000000,mango,mango
mdg,peace,A1,0.276,0.048,#656168,#656168,peace,peace
mdg,peace,A2,0.292,0.043,#9d97a0,#9d97a0,peace,peace
mdg,peace,A3,0.708,0.049,#d8cfdb,#d8cfdb,peace,peace
mdg,peace,BK,0.2,0.042,#323033,#323033,peace,peace
mdg,peace,DB,0.262,0.042,#386089,#386089,peace,peace
mdg,peace,DC,0.324,0.048,#297375,#297375,peace,peace
mdg,peace,DG,0.347,0.049,#21704f,#21704f,peace,peace
mdg,peace,DH,0.291,0.046,#677f35,#677f35,peace,peace
mdg,peace,DO,0.171,0.035,#864d2b,#864d2b,peace,peace
mdg,peace,DP,0.213,0.04,#723484,#723484,peace,peace
mdg,peace,DR,0.217,0.04,#8a2b38,#8a2b38,peace,peace
mdg,peace,DY,0.201,0.036,#8a7527,#8a7527,peace,peace
mdg,peace,LB,0.438,0.05,#aacffb,#aacffb,peace,peace
mdg,peace,LC,0.438,0.051,#9de5e4,#9de5e4,peace,peace
mdg,peace,LG,0.452,0.049,#95e2b8,#95e2b8,peace,peace
mdg,peace,LH,0.476,0.05,#dbf099,#dbf099,peace,peace
mdg,peace,LO,0.449,0.05,#fbc9a3,#fbc9a3,peace,peace
mdg,peace,LP,0.35,0.046,#dfa7fa,#dfa7fa,peace,peace
mdg,peace,LR,0.376,0.044,#fc9fa3,#fc9fa3,peace,peace
mdg,peace,LY,0.473,0.051,#fff498,#fff498,peace,peace
mdg,peace,MB,0.365,0.051,#7196c0,#7196c0,peace,peace
mdg,peace,MC,0.403,0.052,#65acac,#65acac,peace,peace
mdg,peace,MG,0.346,0.05,#62ae88,#62ae88,peace,peace
mdg,peace,MH,0.27,0.043,#a0b668,#a0b668,peace,peace
mdg,peace,MO,0.213,0.037,#ce916c,#ce916c,peace,peace
mdg,peace,MP,0.254,0.037,#a66fbd,#a66fbd,peace,peace
mdg,peace,MR,0.271,0.043,#c5666b,#c5666b,peace,peace
mdg,peace,MY,0.307,0.046,#dab572,#dab572,peace,peace
mdg,peace,SB,0.368,0.052,#4fa7ef,#4fa7ef,peace,peace
mdg,peace,SC,0.416,0.054,#27d1cd,#27d1cd,peace,peace
mdg,peace,SG,0.409,0.052,#04c981,#04c981,peace,peace
mdg,peace,SH,0.41,0.051,#bde638,#bde638,peace,peace
mdg,peace,SO,0.334,0.048,#f89e2d,#f89e2d,peace,peace
mdg,peace,SP,0.254,0.045,#b740da,#b740da,peace,peace
mdg,peace,SR,0.303,0.051,#f03a52,#f03a52,peace,peace
mdg,peace,SY,0.297,0.046,#fff329,#fff329,peace,peace
mdg,peace,WH,0.725,0.047,#ffffff,#000000,peace,peace
mdg,peach,A1,0.243,0.049,#656168,#656168,peach,peach
mdg,peach,A2,0.215,0.042,#9d97a0,#9d97a0,peach,peach
mdg,peach,A3,0.23,0.045,#d8cfdb,#d8cfdb,peach,peach
mdg,peach,BK,0.202,0.04,#323033,#323033,peach,peach
mdg,peach,DB,0.224,0.043,#386089,#386089,peach,peach
mdg,peach,DC,0.233,0.039,#297375,#297375,peach,peach
mdg,peach,DG,0.501,0.052,#21704f,#21704f,peach,peach
mdg,peach,DH,0.38,0.044,#677f35,#677f35,peach,peach
mdg,peach,DO,0.32,0.049,#864d2b,#864d2b,peach,peach
mdg,peach,DP,0.192,0.037,#723484,#723484,peach,peach
mdg,peach,DR,0.383,0.052,#8a2b38,#8a2b38,peach,peach
mdg,peach,DY,0.277,0.04,#8a7527,#8a7527,peach,peach
mdg,peach,LB,0.299,0.047,#aacffb,#aacffb,peach,peach
mdg,peach,LC,0.311,0.047,#9de5e4,#9de5e4,peach,peach
mdg,peach,LG,0.441,0.049,#95e2b8,#95e2b8,peach,peach
mdg,peach,LH,0.308,0.045,#dbf099,#dbf099,peach,peach
mdg,peach,LO,0.286,0.043,#fbc9a3,#fbc9a3,peach,peach
mdg,peach,LP,0.268,0.043,#dfa7fa,#dfa7fa,peach,peach
mdg,peach,LR,0.43,0.051,#fc9fa3,#fc9fa3,peach,peach
mdg,peach,LY,0.34,0.046,#fff498,#fff498,peach,peach
mdg,peach,MB,0.258,0.045,#7196c0,#7196c0,peach,peach
mdg,peach,MC,0.257,0.043,#65acac,#65acac,peach,peach
mdg,peach,MG,0.447,0.049,#62ae88,#62ae88,peach,peach
mdg,peach,MH,0.359,0.045,#a0b668,#a0b668,peach,peach
mdg,peach,MO,0.325,0.046,#ce916c,#ce916c,peach,peach
mdg,peach,MP,0.19,0.037,#a66fbd,#a66fbd,peach,peach
mdg,peach,MR,0.379,0.047,#c5666b,#c5666b,peach,peach
mdg,peach,MY,0.338,0.046,#dab572,#dab572,peach,peach
mdg,peach,SB,0.258,0.046,#4fa7ef,#4fa7ef,peach,peach
mdg,peach,SC,0.216,0.039,#27d1cd,#27d1cd,peach,peach
mdg,peach,SG,0.501,0.056,#04c981,#04c981,peach,peach
mdg,peach,SH,0.363,0.047,#bde638,#bde638,peach,peach
mdg,peach,SO,0.339,0.049,#f89e2d,#f89e2d,peach,peach
mdg,peach,SP,0.215,0.038,#b740da,#b740da,peach,peach
mdg,peach,SR,0.445,0.054,#f03a52,#f03a52,peach,peach
mdg,peach,SY,0.361,0.051,#fff329,#fff329,peach,peach
mdg,peach,WH,0.237,0.043,#ffffff,#000000,peach,peach
mdg,sad,A1,0.649,0.046,#656168,#656168,sad,sad
mdg,sad,A2,0.621,0.045,#9d97a0,#9d97a0,sad,sad
mdg,sad,A3,0.444,0.052,#d8cfdb,#d8cfdb,sad,sad
mdg,sad,BK,0.738,0.046,#323033,#323033,sad,sad
mdg,sad,DB,0.225,0.039,#386089,#386089,sad,sad
mdg,sad,DC,0.257,0.041,#297375,#297375,sad,sad
mdg,sad,DG,0.264,0.04,#21704f,#21704f,sad,sad
mdg,sad,DH,0.32,0.043,#677f35,#677f35,sad,sad
mdg,sad,DO,0.33,0.041,#864d2b,#864d2b,sad,sad
mdg,sad,DP,0.457,0.052,#723484,#723484,sad,sad
mdg,sad,DR,0.331,0.043,#8a2b38,#8a2b38,sad,sad
mdg,sad,DY,0.372,0.044,#8a7527,#8a7527,sad,sad
mdg,sad,LB,0.277,0.041,#aacffb,#aacffb,sad,sad
mdg,sad,LC,0.198,0.032,#9de5e4,#9de5e4,sad,sad
mdg,sad,LG,0.173,0.029,#95e2b8,#95e2b8,sad,sad
mdg,sad,LH,0.293,0.041,#dbf099,#dbf099,sad,sad
