country,concept_a,concept_b,color_1,color_2,A_to_C1,A_to_C2,B_to_C1,B_to_C2,mu_D,semantic_distance
usa,justice,tree,A1,BK,0.302,0.4356,0.0992,0.138,-0.0948,0.1436
usa,lightning,mango,A1,BK,0.3756,0.3808,0.0426,0.0498,0.002,0.0032
usa,lightning,peace,A1,BK,0.3756,0.3808,0.1886,0.1206,-0.0732,0.1039
usa,lightning,peach,A1,BK,0.3756,0.3808,0.0288,0.0292,-0.0048,0.0078
usa,lightning,sad,A1,BK,0.3756,0.3808,0.7964,0.795,-0.0066,0.0089
usa,lightning,safety,A1,BK,0.3756,0.3808,0.223,0.1376,-0.0906,0.1245
usa,lightning,sandstorm,A1,BK,0.3756,0.3808,0.3454,0.3184,-0.0322,0.0382
usa,lightning,sick,A1,BK,0.3756,0.3808,0.4512,0.479,0.0226,0.0253
usa,lightning,tree,A1,BK,0.3756,0.3808,0.0992,0.138,0.0336,0.05
usa,mango,peace,A1,BK,0.0426,0.0498,0.1886,0.1206,-0.0752,0.2055
usa,mango,peach,A1,BK,0.0426,0.0498,0.0288,0.0292,-0.0068,0.0498
usa,mango,sad,A1,BK,0.0426,0.0498,0.7964,0.795,-0.0086,0.0196
usa,mango,safety,A1,BK,0.0426,0.0498,0.223,0.1376,-0.0926,0.2263
usa,mango,sandstorm,A1,BK,0.0426,0.0498,0.3454,0.3184,-0.0342,0.058
usa,mango,sick,A1,BK,0.0426,0.0498,0.4512,0.479,0.0206,0.0313
usa,mango,tree,A1,BK,0.0426,0.0498,0.0992,0.138,0.0316,0.106
usa,peace,peach,A1,BK,0.1886,0.1206,0.0288,0.0292,0.0684,0.1931
usa,peace,sad,A1,BK,0.1886,0.1206,0.7964,0.795,0.0666,0.1217
usa,peace,safety,A1,BK,0.1886,0.1206,0.223,0.1376,-0.0174,0.0336
usa,peace,sandstorm,A1,BK,0.1886,0.1206,0.3454,0.3184,0.041,0.061
usa,peace,sick,A1,BK,0.1886,0.1206,0.4512,0.479,0.0958,0.1301
usa,peace,tree,A1,BK,0.1886,0.1206,0.0992,0.138,0.1068,0.2395
usa,peach,sad,A1,BK,0.0288,0.0292,0.7964,0.795,-0.0018,0.0042
usa,peach,safety,A1,BK,0.0288,0.0292,0.223,0.1376,-0.0858,0.2152
usa,peach,sandstorm,A1,BK,0.0288,0.0292,0.3454,0.3184,-0.0274,0.047
usa,peach,sick,A1,BK,0.0288,0.0292,0.4512,0.479,0.0274,0.042
usa,peach,tree,A1,BK,0.0288,0.0292,0.0992,0.138,0.0384,0.1347
usa,sad,safety,A1,BK,0.7964,0.795,0.223,0.1376,-0.084,0.1456
usa,sad,sandstorm,A1,BK,0.7964,0.795,0.3454,0.3184,-0.0256,0.0357
usa,sad,sick,A1,BK,0.7964,0.795,0.4512,0.479,0.0292,0.0377
usa,sad,tree,A1,BK,0.7964,0.795,0.0992,0.138,0.0402,0.0795
usa,safety,sandstorm,A1,BK,0.223,0.1376,0.3454,0.3184,0.0584,0.0839
usa,safety,sick,A1,BK,0.223,0.1376,0.4512,0.479,0.1132,0.1492
