concept_a,concept_b,color_a,color_b,deltaS_mg,deltaS_us,mg_level,us_level,category,extremeness
justice,peach,MO,WH,0.6708323326126435,0.961713315871157,high,high,MG_high__US_high,1.6325456484838006
justice,peach,A3,MB,0.4926333752996894,0.01711047690350881,high,low,MG_high__US_low,0.4755228983961806
justice,peach,LO,MC,0.013623130003504347,0.9391901099101387,low,high,MG_low__US_high,0.9255669799066344
justice,peach,LG,MG,0.009789344534075983,0.008219367052406612,low,low,MG_low__US_low,-0.018008711586482595
justice,sad,A1,WH,0.7345554642662497,0.8560363672215445,high,high,MG_high__US_high,1.5905918314877943
justice,sad,A3,MP,0.54235508645747,0.040017221767564115,high,low,MG_high__US_low,0.5023378646899059
justice,sad,DR,LO,0.0019149074652649034,0.015067396785889864,low,low,MG_low__US_low,-0.016982304251154767
justice,safety,A1,A3,0.3843798217796095,0.042089566090525,high,low,MG_high__US_low,0.3422902556890845
justice,safety,BK,SH,0.024813047105358643,0.6539946701072283,low,high,MG_low__US_high,0.6291816230018696
justice,safety,MC,SR,0.00640772338516804,0.007113410679942922,low,low,MG_low__US_low,-0.013521134065110962
justice,sandstorm,MO,SB,0.6493659552218123,0.9039463747066683,high,high,MG_high__US_high,1.5533123299284806
justice,sandstorm,A3,BK,0.5250939324083341,0.05301359310182546,high,low,MG_high__US_low,0.47208033930650867
justice,sandstorm,BK,LO,0.05955579138507017,0.6972348586430355,low,high,MG_low__US_high,0.6376790672579653
justice,sandstorm,DR,LG,0.009735799464860972,0.0031969383869416834,low,low,MG_low__US_low,-0.012932737851802656
justice,sick,DY,WH,0.47855862583363745,0.9422670567858218,high,high,MG_high__US_high,1.4208256826194592
justice,sick,BK,LY,0.44639113011498366,0.020771014992187142,high,low,MG_high__US_low,0.4256201151227965
justice,sick,DP,DY,0.010521631162376588,0.8927885922749612,low,high,MG_low__US_high,0.8822669611125846
justice,sick,SO,SY,0.012818816884613116,2.827118064145928e-4,low,low,MG_low__US_low,-0.013101528691027708
justice,tree,DG,WH,0.9424891313039263,0.9391317403865014,high,high,MG_high__US_high,1.8816208716904277
justice,tree,A3,BK,0.5669931059437145,0.01080504298004259,high,low,MG_high__US_low,0.556188062963672
justice,tree,BK,LH,0.016922965980526117,0.619125566537666,low,high,MG_low__US_high,0.6022026005571399
justice,tree,LC,LR,0.0032601025670817574,0.010559372882694262,low,low,MG_low__US_low,-0.01381947544977602
