concept_a,concept_b,category,color_a,color_b,deltaS_mg,deltaS_us,extremeness
lightning,sad,MG_low__US_high,DB,SY,0.007933191776507309,0.9493447997900073,0.9414116080135
lightning,sad,MG_low__US_high,DR,SY,0.002180176781142462,0.9391136944098613,0.9369335176287188
lightning,sad,MG_low__US_high,MB,SY,0.02344152995033233,0.931342756356341,0.9079012264060087
lightning,sad,MG_low__US_high,DB,WH,0.014522733948067135,0.9190197942975782,0.904497060349511
lightning,sad,MG_low__US_high,DR,WH,0.005023151094025513,0.8980995793308777,0.8930764282368522
lightning,sad,MG_low__US_low,DG,DP,0.022969609444397632,0.019128213809110284,-0.042097823253507916
lightning,sad,MG_low__US_low,DP,MH,0.008489575702227636,0.036155197932731475,-0.04464477363495911
lightning,sad,MG_low__US_low,LO,MY,0.014893819481795578,0.03277931667795775,-0.047673136159753327
lightning,sad,MG_low__US_low,LB,MR,0.042724125884902764,0.012015843240329671,-0.054739969125232435
lightning,sad,MG_low__US_low,LG,SC,0.042438865509459855,0.01312854911032324,-0.055567414619783095
lightning,safety,MG_high__US_high,A2,SG,0.5276762505501158,0.6888521130391672,1.216528363589283
lightning,safety,MG_high__US_high,A2,DG,0.44298951738475356,0.7068438298179758,1.1498333472027293
lightning,safety,MG_high__US_high,LY,SG,0.34728047443593124,0.7531772662216305,1.1004577406575617
lightning,safety,MG_high__US_high,A2,MG,0.3630585008078955,0.6621532906683183,1.0252117914762138
lightning,safety,MG_high__US_high,DY,SG,0.35389354918233984,0.6534834551364284,1.0073770043187682
lightning,safety,MG_high__US_low,DP,SC,0.34915146502906547,0.051212907895690885,0.2979385571333746
lightning,safety,MG_low__US_high,BK,DC,0.00774721567045189,0.7320893206501278,0.7243421049796759
lightning,safety,MG_low__US_high,DC,WH,0.008416711519587894,0.712002934336595,0.7035862228170071
lightning,safety,MG_low__US_high,BK,MC,0.024384885911808263,0.704759990431717,0.6803751045199087
lightning,safety,MG_low__US_high,MC,WH,0.022764542744714067,0.6863761665306178,0.6636116237859038
lightning,safety,MG_low__US_high,DC,SY,0.007779129129094509,0.6494588748509307,0.6416797457218362
